ingredient_id,ingredient_name,recipe_item_id,recipe_id,recipe_name,recipe_link,note
aW5ncmVkaWVudDoyOTgxMDY=,"cacoa nibs, roasted",cmVjaXBlSXRlbTozMzIwMTQx,cmVjaXBlOjQ5NjMxOQ==,Raspberry & Cacao Nibs,https://app.galleysolutions.com/recipes/cmVjaXBlOjQ5NjMxOQ==,Sparse recipe
aW5ncmVkaWVudDoyOTgxMDY=,"cacoa nibs, roasted",cmVjaXBlSXRlbToyMjQ3MzQx,cmVjaXBlOjE2OTE0Mg==,Cacao Nib & Pepita Topping,https://app.galleysolutions.com/recipes/cmVjaXBlOjE2OTE0Mg==,Sparse recipe
aW5ncmVkaWVudDoyOTgxMDY=,"cacoa nibs, roasted",cmVjaXBlSXRlbTozMjg1ODU5,cmVjaXBlOjQ5MDk2MA==,Caramel Muesli Bar BASE,https://app.galleysolutions.com/recipes/cmVjaXBlOjQ5MDk2MA==,Top level usage
aW5ncmVkaWVudDoyOTgxMDY=,"cacoa nibs, roasted",cmVjaXBlSXRlbToxODU1MjY2,cmVjaXBlOjI4ODIyNQ==,Grasshopper Mousse Cup,https://app.galleysolutions.com/recipes/cmVjaXBlOjI4ODIyNQ==,Top level usage
aW5ncmVkaWVudDoyOTgxMDY=,"cacoa nibs, roasted",cmVjaXBlSXRlbTo0NDY3MTkx,cmVjaXBlOjU5MTMwMA==,Chocolate Orange Mousse Cup,https://app.galleysolutions.com/recipes/cmVjaXBlOjU5MTMwMA==,Top level usage
aW5ncmVkaWVudDoyOTgxMDY=,"cacoa nibs, roasted",cmVjaXBlSXRlbTo0MTcxODU4,cmVjaXBlOjU5OTgzNw==,Chocolate Passion Fruit Mousse,https://app.galleysolutions.com/recipes/cmVjaXBlOjU5OTgzNw==,Top level usage
aW5ncmVkaWVudDoyOTgxMDY=,"cacoa nibs, roasted",cmVjaXBlSXRlbToxNjI4NDA4,cmVjaXBlOjE4MTYyOQ==,Reishi-Chocolate Chunk Cookie Dough BASE,https://app.galleysolutions.com/recipes/cmVjaXBlOjE4MTYyOQ==,Top level usage
aW5ncmVkaWVudDozMTg4MDU=,"chips, potato, sea salt",cmVjaXBlSXRlbToxODMzMTkz,cmVjaXBlOjI4NTI0Nw==,French Onion Dip with Crudités,https://app.galleysolutions.com/recipes/cmVjaXBlOjI4NTI0Nw==,Top level usage
aW5ncmVkaWVudDozMTg4MDU=,"chips, potato, sea salt",cmVjaXBlSXRlbToyODkyNjcx,cmVjaXBlOjQ0MDUzNg==,Smoky Pumpkin Queso Dip with Crudités,https://app.galleysolutions.com/recipes/cmVjaXBlOjQ0MDUzNg==,Top level usage
aW5ncmVkaWVudDozMTg4MDU=,"chips, potato, sea salt",cmVjaXBlSXRlbToyNzQ2NDQx,cmVjaXBlOjM4MzI4Mw==,Texas Caviar and Queso Dip,https://app.galleysolutions.com/recipes/cmVjaXBlOjM4MzI4Mw==,Top level usage
aW5ncmVkaWVudDozMTg4MDU=,"chips, potato, sea salt",cmVjaXBlSXRlbToyOTE3MjQz,cmVjaXBlOjQ0MzM1NA==,Layered Pumpkin Pinto Dip,https://app.galleysolutions.com/recipes/cmVjaXBlOjQ0MzM1NA==,Top level usage
aW5ncmVkaWVudDozMTg4MDU=,"chips, potato, sea salt",cmVjaXBlSXRlbTozNDgxNDA1,cmVjaXBlOjUxMDkxNw==,Jalapeno Popper Dip with Crudités,https://app.galleysolutions.com/recipes/cmVjaXBlOjUxMDkxNw==,Top level usage
aW5ncmVkaWVudDozMTg4MDU=,"chips, potato, sea salt",cmVjaXBlSXRlbTozOTQ2OTgz,cmVjaXBlOjU2OTM0MQ==,Smashed Sonoma Chickpea Snack Plate w/Chips,https://app.galleysolutions.com/recipes/cmVjaXBlOjU2OTM0MQ==,Top level usage
aW5ncmVkaWVudDoyNzAyMTQ=,"chips, puffed kelp sea salt",cmVjaXBlSXRlbToxNjI2NzY3,cmVjaXBlOjI1Mzg0Nw==,Pacific Hummus with Puffed Kelp Chips,https://app.galleysolutions.com/recipes/cmVjaXBlOjI1Mzg0Nw==,Top level usage
aW5ncmVkaWVudDoyNDQzOTY=,"dried fruit, apricot",cmVjaXBlSXRlbTozMjgyNTQ5,cmVjaXBlOjQ5MTIzMA==,Carrot Cake Dip,https://app.galleysolutions.com/recipes/cmVjaXBlOjQ5MTIzMA==,Top level usage
aW5ncmVkaWVudDoyNDQzOTY=,"dried fruit, apricot",cmVjaXBlSXRlbTozMjk3MzM2,cmVjaXBlOjQ5MjI5Ng==,Blueberry Cheesecake Dip,https://app.galleysolutions.com/recipes/cmVjaXBlOjQ5MjI5Ng==,Top level usage
aW5ncmVkaWVudDoyNDQ4NjQ=,"freeze-dried, strawberry",cmVjaXBlSXRlbTozNzI5NTA5,cmVjaXBlOjMwNzYwNw==,PB&J Snack Plate,https://app.galleysolutions.com/recipes/cmVjaXBlOjMwNzYwNw==,Top level usage
aW5ncmVkaWVudDoyNDQ4NjQ=,"freeze-dried, strawberry",cmVjaXBlSXRlbToyMTk2NTA5,cmVjaXBlOjE3NjE1Mw==,Chocolate Chip Cookie Dough Dip,https://app.galleysolutions.com/recipes/cmVjaXBlOjE3NjE1Mw==,Top level usage
aW5ncmVkaWVudDoyNDQ0NTE=,"frozen, peas",cmVjaXBlSXRlbToxMTU4MzY4,cmVjaXBlOjE3ODk0Mw==,Green Pea Chutney BASE,https://app.galleysolutions.com/recipes/cmVjaXBlOjE3ODk0Mw==,Top level usage
aW5ncmVkaWVudDoyNDQ0NTE=,"frozen, peas",cmVjaXBlSXRlbToxMTc1MjU4,cmVjaXBlOjE4MjIzOQ==,Crunchy Citrus & Cabbage Salad with Green Peas AF,https://app.galleysolutions.com/recipes/cmVjaXBlOjE4MjIzOQ==,Top level usage
aW5ncmVkaWVudDoyNDQ0NTE=,"frozen, peas",cmVjaXBlSXRlbToxMjQ3MTAz,cmVjaXBlOjE5NDk2Nw==,"Vegetable Mix - Green Beans, Peas & Red Bell Pepper",https://app.galleysolutions.com/recipes/cmVjaXBlOjE5NDk2Nw==,Sparse recipe
aW5ncmVkaWVudDoyNDQ0NTE=,"frozen, peas",cmVjaXBlSXRlbToxNDQwOTE1,cmVjaXBlOjIzMDM2MA==,SCH LOT 22122 Component,https://app.galleysolutions.com/recipes/cmVjaXBlOjIzMDM2MA==,Top level usage
aW5ncmVkaWVudDoyNDQ0NTE=,"frozen, peas",cmVjaXBlSXRlbToxODQ5NzQ2,cmVjaXBlOjI4NzM0Nw==,Sweet Peas,https://app.galleysolutions.com/recipes/cmVjaXBlOjI4NzM0Nw==,Sparse recipe
